,full_text,favorite_count,retweet_count,created_at,user.followers_count,engagement,performance,twtlength
919,Today I went to an event for the 60th anniversary of the Santa Susana Field Lab Melt Down. It still hasn’t been cleaned up after 60 years! 60 kids all have rare cancers linked to this toxic site! It’s time to clean this up! This site  is 10 miles from my home!,11796,806,2019,62585119,12602,0.02,260
920,The @kkwbeauty Body Foundation in Dark is sold out!!!,3006,72,2019,62585119,3078,0.0,53
921,Haha. Kristen and I always say this ✨ https://t.co/hO7gkbS2Jn,74553,3122,2019,62585119,77675,0.12,61
922,Wearing the pencil eyeliner in RUST from the @kkwbeauty Sooo Fire 🔥 Collection dropping July 19th. I love this pencil when I want a softer look but still need my winged liner. https://t.co/hvKDIqqTXs,7066,258,2019,62585119,7324,0.01,199
923,Last night I wore the Sooo Fire Collection 🔥 https://t.co/5vXRm6HMpW,7356,249,2019,62585119,7605,0.01,68
924,🙏🏼 https://t.co/i7DaePpNbl,3245,131,2019,62585119,3376,0.01,26
925,I meannnnn my baby Psalm is so sweet!!! https://t.co/RdoyL4wqlq,377578,17564,2019,62585119,395142,0.63,63
926,Drop 2 of my @LemkeUs sunglasses are available to shop now at https://t.co/Ti66jrUvoA #LemkePartner https://t.co/d1mAYwHrin,1789,127,2019,62585119,1916,0.0,123
927,My @LemkeUs Drop 2 of sunglasses are available to shop now at https://t.co/Ti66jrUvoA #LemkePartner https://t.co/aQtoO3i6yL,2107,132,2019,62585119,2239,0.0,123
928,The @kkwbeauty Body Foundation in Medium is sold out!!!,1972,80,2019,62585119,2052,0.0,55
929,The Liquid Shimmer Trio and Liquid Shimmer in Bronze are sold out!!!,2373,91,2019,62585119,2464,0.0,68
930,My @kkwbeauty press boxes are lit!!!! 🔥🔥🔥 #SoooFire https://t.co/yey2ukejRF,22737,1545,2019,62585119,24282,0.04,75
931,The Liquid Shimmer in Pearl is sold out!!! The Shimmer Powder in Pearl is still available at https://t.co/aIjp1MBlpZ,1252,64,2019,62585119,1316,0.0,116
932,Dropping the cutest @carolinalemkeberlin oval sunglasses tomorrow called Sand at https://t.co/USBcysK4Gw #LemkePartner https://t.co/NdN69t0nzv,6029,393,2019,62585119,6422,0.01,142
933,He inspires me every single day and I’m so happy that he is getting the recognition and credit that he deserves. @Forbes https://t.co/Jp7KV9gR52,32915,2616,2019,62585119,35531,0.06,144
934,I watch how hard he works as he puts his soul into every idea &amp; product that he creates. It’s of no surprise to anyone who works w Kanye that he has been able to turn millions of $ in debt into a billion dollar empire in only 4 years - 100% on his own terms while owning it 100% https://t.co/XQnoSUuVA2,142050,15359,2019,62585119,157409,0.25,306
935,Kanye on @Forbes!!!  I love this cover and article. Kanye has worked so hard to build Yeezy and always stays true to his vision. He is my inspiration ✨ https://t.co/yoBVXiQerv,26066,3465,2019,62585119,29531,0.05,175
936,So happy you got it! https://t.co/ov6kpnjMhz,1697,58,2019,62585119,1755,0.0,44
937,"The @kkwbeauty Body Foundations in Fair, Light, and Light/Medium are sold out!!!!",1738,62,2019,62585119,1800,0.0,81
938,The brush sold out!!!,3507,98,2019,62585119,3605,0.01,21
939,My @kkwbeauty Body Collection is back!!! Shop the collection at https://t.co/aIjp1MBlpZ #kkwbeauty https://t.co/0f3fXJvuDs,3217,130,2019,62585119,3347,0.01,122
