,full_text,favorite_count,retweet_count,created_at,user.followers_count,engagement,performance,twtlength
100,"GRANDE PROFE RUEDA! 

Hombre maravilla, milagros en San Pedro.. https://t.co/QqRoD3b9L0",76,13,2019,1898,89,4.69,89
101,"Armados a la 1️⃣... 

Armados a las 2️⃣... 

¡Armados a las 3️⃣(1️⃣) !",50,12,2019,1898,62,3.27,74
102,"Que bién montada La Copa africana😮. Hay muchas cosas que CONMEBOL y CONCACAF podrían tomar en próximas ediciones, sobre todo en la presentación.",12,1,2019,1898,13,0.68,144
103,"Nos enojamos cuándo en Honduras un jugador ""se harta"" un gol, cuándo ni el propio Messi puede hacer milagros en una cancha con ""baches"". 

¡Priomordial lo de las canchas en nuestra liga! https://t.co/DHGeX7yCUR",28,6,2019,1898,34,1.79,212
104,"Me pongo de pie. 

Gracias Carlos Will por esas noches mágicas. Te inscribiste en la historia coronandote Tetracampeón por primera y única vez en el fútbol hondureño. Fuiste parte de un año centenario INIGUALABLE. En fin, la camisa de Olimpia te quedó perfecta👏🏼. https://t.co/Tm2fg8SFY2",410,96,2019,1898,506,26.66,289
105,Es de grandes. https://t.co/JhfvSvZTpi,135,19,2019,1898,154,8.11,38
106,El Peter contra la Unión Soviética. Italia 90. https://t.co/5Mm0FBQDqj,41,6,2019,1898,47,2.48,70
107,"El Pedro y El Diego. 

Bienvenido al Club Olimpia🇱🇺🦁. https://t.co/v128OiXqZu",202,44,2019,1898,246,12.96,79
108,"107 años de historia como el equipo que representa a Honduras y a su gente. 

¡Felicidades viejo león! https://t.co/HYZHFVv2Bd",142,32,2019,1898,174,9.17,128
109,Habla con toda la verdad.,32,10,2019,1898,42,2.21,25
110,"Pena. Eso es lo único que siento. Estuvieron bajo el sol y lluvia, llenaron cada cancha.. Lo siento Olimpista, te merecés fútbol del primer mundo y lo único que Honduras te puede ofrecer es un circo que se juega en todos lados menos en la grama.",228,74,2019,1898,302,15.91,245
111,Que bonito que es volver a verte Olimpia🦁❤️ https://t.co/WjInqXyV1y,89,9,2019,1898,98,5.16,67
112,"Llegó el gran dia. Que se juegue en paz y que sea un espectáculo dentro y fuera de la cancha. A por ella.

¡Vamos mi león!🦁🇱🇺",114,19,2019,1898,133,7.01,127
113,"El mejor de este equipo? Para mi el niño entre Tosello y Milton con la medalla😀. 

Bromas😂, Lucigol tiene que ser⚽️. https://t.co/2muHLCisj8",24,1,2019,1898,25,1.32,142
114,"Felicidades a mi grán amigo Manuel! Un genial ingeniero, sin duda👏🏼 https://t.co/IbjMY6fYuH",10,0,2019,1898,10,0.53,91
115,2 de Junio. Acuérdense. https://t.co/V46J2E9wYx,11,0,2019,1898,11,0.58,47
116,Come on you Gunners 🔴. @Arsenal  #ARSCHE,8,2,2019,1898,10,0.53,40
117,"Buen ambiente ayer. El público se va a su casa con dignidad👏🏼. El arbitraje tuvo altos y bajos para ambos. Olimpia muy nervioso en primer tiempo, en el segundo encontramos nuestro juego. 

La vuelta será una verdadera cueva nunca antes montada en estas tierras, solo eso digo🇱🇺.",121,25,2019,1898,146,7.69,280
118,A GOLEAR COMO.....? EVER🦁,28,5,2019,1898,33,1.74,25
119,"A dejarlo todo. A correr y a marcar como... A por la copa. 

¡VAMOS OLIMPIA!🇱🇺🦁🏆",129,35,2019,1898,164,8.64,82
120,"Olimpia es el mas grande porque nunca abandonó. Es la verdad, y la verdad dura por la eternidad.

Grande @relymp https://t.co/uKxpJtCpNg",229,64,2019,1898,293,15.44,138
121,MAXIMO GOLEADOR BENGOOOOLAZOO⚽️,48,4,2019,1898,52,2.74,31
122,Ya vaas a veeer🎶🇱🇺,67,13,2019,1898,80,4.21,18
123,BENGOOLAZO.,55,7,2019,1898,62,3.27,11
124,PUM! Gol del mas querido🦁,25,4,2019,1898,29,1.53,25
125,"Y vamos a salir con todo, y vamos a salir todos, y lo vamos a buscar, y lo vamos a sacar, y nos vamos a meter en esa final. Y después vamos por ella. Vamos mi león❤️",89,19,2019,1898,108,5.69,165
126,"Si Messi se hubiera caído a reclamar no sería Messi. Y si el Chelsea hubiera hecho gol en la contra, Guardiola se enfadaría con sus jugadores por quedarse reclamando. 

Diferencias. https://t.co/5dZ5kovvFR",8,0,2019,1898,8,0.42,207
127,🎩👀. https://t.co/ffuNW8fBW9,19,1,2019,1898,20,1.05,27
128,Primer tiempo 0-1. VAMOS OLIMPIA QUE GANAMOS🇱🇺🦁 https://t.co/5kS4IPWiic,68,10,2019,1898,78,4.11,71
129,"Nos tocará con UPN, el más difícil del torneo. Que se jueguen dos partidazos, que las gradas sean una fiesta, y que logremos otra final. ¡Vamos OLIMPIA!",134,31,2019,1898,165,8.69,152
130,Es mejor el gol de visita o que pase el que quedó arriba en la tabla?,10,2,2019,1898,12,0.63,69
131,"En alta definición, lo que es ser Olimpia. El más grande, lejos🦁🇱🇺.

Tomado: @SVChecho10 que no falla con las buenas tomas. https://t.co/bR450mfwHD",352,100,2019,1898,452,23.81,149
132,"Mas claro que nunca. Si el 51% tiene que ir por ella, lo haremos. Somos el pueblo, el carnaval🏆. https://t.co/fAcTzJImBC",185,36,2019,1898,221,11.64,120
133,Gusta. Gana. Golea. La cima es nuestra🦁.,128,25,2019,1898,153,8.06,40
134,"Soñemos que nuestro país sea de los primeros, si no el primero en el MUNDO dónde el arbitro de una grán final es mujer. Soñemos que por un segundo Honduras sea ejemplo de progreso social.

Espero que mi país no me defraude y  se atreva a soñar con la mente abierta. https://t.co/ThFM9ziKkg",17,2,2019,1898,19,1.0,291
135,I #VoteElis for MLS Player of the Week!,4,0,2019,1898,4,0.21,39
136,Regresamos adonde pertenecemos. Líder absoluto.🦁 ¡Vamos Olimpia!,77,19,2019,1898,96,5.06,64
137,Mañana cueste lo que cueste. A por el podio 🇱🇺🦁.,72,8,2019,1898,80,4.21,48
138,"Un auténtico crack! Tuvo la oportunidad de probarse en @CDOlimpia y @FenafuthOrg. Ahora le toca en @steelers. ¡Éxitos bro👏🏼!

@diegoalorenzana https://t.co/Q8AN7V6Uzs",25,1,2019,1898,26,1.37,168
139,"Xi Jinping Scheme rima mejor que Ponzi Scheme. En las próximas decadas sabremos si se adopta. En 2013 fuí a China y me aseguraron que en 2016 serían la potencia global, que mandarín era el idioma del futuro. Es 2019 y si la frágil narrativa cae, se quiebra, y corta. https://t.co/8xlsE7OB0u",10,0,2019,1898,10,0.53,290
140,"🇪🇸 naaaaah😴😴
🇩🇪 Hertha Berlin
🏴󠁧󠁢󠁥󠁮󠁧󠁿 Arsenal
🇮🇹 Roma
🇫🇷 Lyon
🇳🇱 Ajax
🇵🇹 Benfica
🇧🇷 Flamengo
🇦🇷 River 
🇺🇸 DC United
🇲🇽 América
🇭🇳 CD OLIMPIA",19,0,2019,1898,19,1.0,151
141,"Fecha FIFA, el mal necesario del fútbol de clubes.",10,3,2019,1898,13,0.68,50
