,full_text,favorite_count,retweet_count,created_at,user.followers_count,engagement,performance
64,"🕛¡Inicia el partido en el Nacional!

Lobos Upn 🐶 - Olimpia 🇱🇺

#SomosOlimpia
#LigaSalvaVida https://t.co/pPQyovzDlk",59,9,2019,196452,68,0.03
65,"Así sale el León🦁 esta noche ante @LobosUpnfm :

#SomosOlimpia
#LigaSalvaVida https://t.co/pT3uGWxcxU",134,28,2019,196452,162,0.08
66,Comunicado Club Olimpia Deportivo. https://t.co/JdJAz2kHWn,415,132,2019,196452,547,0.28
67,¡Hasta el último minuto! 🔴⚪🔵 https://t.co/Aa7Vts2E5k,656,120,2019,196452,776,0.4
68,¡Hoy juega Olimpia! 🇱🇺 https://t.co/dRVXdXCKUg,491,68,2019,196452,559,0.28
69,Un hermoso atardecer con estos colores. 🇱🇺 https://t.co/8npAenIDn0,573,81,2019,196452,654,0.33
70,"Por un mundo sin barreras y más inclusivo para todos 🙌

🔴⚪🔵 ¡Juntos, siempre juntos!

 #SomosOlimpia https://t.co/Rv1DRZGG8W",329,57,2019,196452,386,0.2
71,"¡El León por el liderato de la Pentagonal! 🇳🇱🇳🇱🇳🇱🇳🇱

🏟Estadio Nacional
🗓️04/12/19
⏲7:00 pm
🏆Liga SalvaVida
🐶 @LobosUpnfm

¡Juntos, siempre juntos!

#SomosOlimpia https://t.co/IgrqleRoeH",284,39,2019,196452,323,0.16
72,"La galería del Superclásico 📷

¡Juntos, siempre juntos!
🔴⚪🔵🔴⚪🔵🔴⚪🔵 https://t.co/QVHqo63hWj",255,23,2019,196452,278,0.14
73,"¡Las Leonas continúan su paso arrollador! 👋👋

Lideres e invictas 🔴⚪🔵

Yendy Martinez ⚽⚽⚽
Yeimy Estrada ⚽
Noelia Hernandez ⚽

#OlimpiaDeCorazón https://t.co/gFodhLop5D",129,10,2019,196452,139,0.07
74,"Conferencia de prensa Prof. Pedro Troglio 🎙️

#SomosOlimpia https://t.co/pS1D1Jl5HQ",474,58,2019,196452,532,0.27
75,Comunicado Club Olimpia Deportivo https://t.co/l8pl9G8JjL,162,17,2019,196452,179,0.09
76,En este perfil nos gustan los Tweets de ⬇️⬇️⬇️⬇️⬇️ https://t.co/CbOfWkC3LD,378,33,2019,196452,411,0.21
77,"Olimpia 0501🇱🇺
*3 Superclasicos consecutivos. 
*7 triunfos (3 Liga Concacaf, 3 vueltas, 1 Pentagonal) consecutivos en el Metropolitano. 

#SomosOlimpia https://t.co/ISrJmenYK4",802,150,2019,196452,952,0.48
78,"Finalizan los 90 minutos en San Pedro Sula.

¡Nos vamos con la victoria en el clásico! 

🦁Olimpia 2 - 0 Motagua 🦅

#SomosOlimpia
#LigaSalvaVida https://t.co/zQDNzh6J5W",668,182,2019,196452,850,0.43
79,"⏰3 minutos adicionales dicta el arbitro. 

#SomosOlimpia
#LigaSalvaVida",42,1,2019,196452,43,0.02
80,"⏰83” Cambio en el Olimpia:
________________
☑️ Entra:  J. Lacayo 
❎Sale:   E. Rodriguez
__________________

#SomosOlimpia 🔴⚪🔵
#LigaSalvaVida https://t.co/eB4VStqgxI",26,0,2019,196452,26,0.01
81,"⏰76” Cambio en el Olimpia:

☑️ Entra:  M. Garrido
❎Sale:   C. Maidana

#SomosOlimpia 🔴⚪🔵
#LigaSalvaVida https://t.co/y8qaQ7ktNe",37,1,2019,196452,38,0.02
82,"⏰63” Cambio en el Olimpia:

☑️ Entra:  M. Nuñez 
❎Sale:   G. Mejía 

#SomosOlimpia 🔴⚪🔵
#LigaSalvaVida https://t.co/HoU374HPlz",31,1,2019,196452,32,0.02
83,"⏰52” GOOOOOOOOOOOOOOL
¡Goooooooooooooooooooool!
 Jerry bengston a los  52' minutos
🦁Olimpia  2 - 0 Motagua 🦅

#SomosOlimpia
#LigaSalvaVida https://t.co/xW8c2sz3B2",239,28,2019,196452,267,0.14
84,"⏰52” GOOOOOOOOOOOOOOL
¡Goooooooooooooooooooool!
 Jerry bengston a los  52' minutos
🦁Olimpia  2 - 0 Motagua 🦅

#SomosOlimpia
#LigaSalvaVida https://t.co/W1kJPozjgo",102,19,2019,196452,121,0.06
85,"Arranca el segundo tiempo ⏳ en el Olímpico de San Pedro Sula.

🦁Olimpia 1 - 0 Motagua 🦅",77,7,2019,196452,84,0.04
86,"Termina el primer tiempo en San Pedro Sula.

¡Vamos león!

🦁Olimpia 1 - 0 Motagua 🦅

#SomosOlimpia https://t.co/Fghxf0y1FB",116,14,2019,196452,130,0.07
87,"⏰3” GOOOOOOOOOOOOOOL
¡Goooooooooooooooooooool!
 Jorge Benguche a los 3' minutos
🦁Olimpia  1 - 0 Motagua 🦅

#SomosOlimpia
#LigaSalvaVida https://t.co/T4AZkfGiJf",420,67,2019,196452,487,0.25
88,"🕐Inicia el partido en el Olímpico 🏟️:

🦁Olimpia  -  Motagua🦅

#SomosOlimpia
#LigaSalvaVida https://t.co/DJ0ZyOVfiQ",71,7,2019,196452,78,0.04
89,¡Vamos Olimpistas! ¡Los necesitamos a todos hoy en el Olímpico! ¡Pintemos tricolor el Metropolitano!! #SomosOlimpia #SomosFamilia #SuperClasico ⚪🔵🔴 https://t.co/wTSmVfj13c,267,28,2019,196452,295,0.15
90,Rivales en la cancha... No enemigos... ¡Vamos Olimpia! 🔴🔵⚪ #SomosOlimpia #SuperClasico https://t.co/4PLL9g6Ajk,312,30,2019,196452,342,0.17
91,"¡Movete.. Olimpista... Movete!
¿Ya tenes tus boletos para el SuperClasico?
¡Recarga tu Billetera Móvil en los puntos autorizados y acompañemos al Leon hoy!
Sol L. 100.00
Preferencia L. 200.00
Silla L. 300.00
Palcos L. 500.00 https://t.co/skRbqz2NZH",91,12,2019,196452,103,0.05
92,"¡El León ya descansa en San Pedro Sula! 💪🎉

Levanten la mano 🙌 quienes al estadio mañana 🏟️

¡Vamos Olimpia! 🇱🇺🇱🇺🇱🇺🇱🇺

#SomosOlimpia https://t.co/WCZLao62e5",518,50,2019,196452,568,0.29
93,"📷 Junior Lacayo en el entrenamiento previo al Superclásico.

#SomosOlimpia https://t.co/vpatQS6962",186,9,2019,196452,195,0.1
94,"La Sub11 de las FBO viajan hacia Colombia 🇨🇴 el próximo sábado a jugar la Copa Internacional ""Ciudad de Cali Hero 2019""🏆

Nuestras reservas jugarán contra los principales Clubes y academias del continente. 💪👋

¡Buen viaje y éxitos a las FBO!
🔴⚪🔵

https://t.co/9TIPupSQn0",160,23,2019,196452,183,0.09
95,"¡Hola San Pedro! 👋

Ponete mas hermosa que el más popular llega el sábado. 🇱🇺💪

#SomosOlimpia https://t.co/IqXyoB5u81",714,107,2019,196452,821,0.42
96,"¡Solo afición local! 🇳🇱🇳🇱🇳🇱🇳🇱

💵Sol L.100 | Sombra L.200 | Silla L.300 | Palco este L.500 | Palco oeste L.500
🏟Estadio Olímpico Metropolitano
🗓️30/11/19
⏲5:00 pm
🏆Liga SalvaVida

Boletos en todos los puntos Tengo.

Niños menores de 12 años entran gratis a sector de Sol. https://t.co/xKQRB0Qtw1",297,67,2019,196452,364,0.19
97,"Con el optimismo a tope 🔝

¡Vamos Olimpia! 🇳🇱

#SomosOlimpia https://t.co/WWpWgSqhDE",452,55,2019,196452,507,0.26
98,Comunicado oficial. Club Olimpia Deportivo. https://t.co/Y7OtwDO460,256,57,2019,196452,313,0.16
99,"A los medios de comunicación se les informa que la plataforma para acreditación ya está disponible en la Web oficial del Club.

La asignación de las credenciales solicitadas queda sujeta a aprobación del Departamento de Marketing y Comunicación.

https://t.co/uQ4vN6xa81 https://t.co/PVdkWmppBh",67,4,2019,196452,71,0.04
100,Comunicado Club Olimpia Deportivo https://t.co/0ReTZKNV2a,305,67,2019,196452,372,0.19
101,"Las FBO se coronaron campeones  del torneo categoría Sub12 Liga ""Jorge Andrade"". 🏆🥇🇱🇺

FBO 2 - Conapid 1

¡Felicidades Campeones! 
, 🔴⚪🔵🔴⚪🔵🔴⚪🔵🔴⚪🔵

#SomosOlimpia
#LaReserva
#OlimpiaDeCorazón https://t.co/xzbPvy1ybr",170,13,2019,196452,183,0.09
102,"El Club Olimpia Deportivo felicita a @CDMarathon por sus 94 años de fundación. 🎉9️⃣4️⃣

#ClásicoNacional
#FútbolEnPaz https://t.co/KBuAFcI5NN",645,81,2019,196452,726,0.37
103,"Creemos en ustedes siempre 🙏💪

#SomosOlimpia
#SomosFamilia
#OlimpiaPositivo https://t.co/NHdj6NnFrR",498,63,2019,196452,561,0.29
104,"Finaliza el partido en La Ceiba. Perdimos el primer partido de la Pentagonal.

Vida 2-1 Olimpia

#SomosOlimpia https://t.co/bQinVUHhea",157,35,2019,196452,192,0.1
105,"Goooooooooooooooooooooooool
Goooooooooooooooooooooooool

German Mejia a los 80 minutos

Vida 🇦🇹 2- Olimpia 🇱🇺 1

#SomosOlimpia https://t.co/g8UUiXryek",151,14,2019,196452,165,0.08
106,"🕐77 minutos del segundo tiempo :

Vida 🇦🇹 2 - Olimpia 🇱🇺 0 

#SomosOlimpia",22,0,2019,196452,22,0.01
107,"Segundo cambio en Olimpia a los 70 minutos:

Sale: Edwin Rodriguez
Entra: Eddie Hernandez https://t.co/hm9e6Kw2R8",18,0,2019,196452,18,0.01
